Sale ID, Year, Make, Model, Style, Is Active?, On Sale?, Has Sold?, Offer to Seller, Private Price PI, Trade In Price PI, Retail Price PI, CPO Price PI, Private Price L, Trade In Price L, Retail Price L, CPO Price L, Beepi Price
18201,2013,Honda,CR-V,LX 4dr SUV (2.4L 4cyl 5A),Y, N, Y, 20150,19052,17714,21145,22151,19052,17714,21145,22151,20100
18202,2012,Honda,CR-V,LX 4dr SUV (2.4L 4cyl 5A),N, N, N, 16958,16672,15224,19078,20483,16672,15224,19078,20483,N/A
18203,2013,Honda,CR-V,EX-L 4dr SUV AWD (2.4L 4cyl 5A),Y, N, Y, 24023,23667,22228,26120,27255,23667,22228,26120,27255,24600
18204,2012,Volkswagen,Golf,2.5L PZEV 4dr Hatchback w/Convenience  Sunroof (2.5L 5cyl 6A),N, N, N, 13478,13274,11895,15413,16372,13274,11895,15413,16372,N/A
18205,2014,Ford,Fusion,Titanium 4dr Sedan w/EcoBoost (2.0L 4cyl Turbo 6A),Y, N, Y, 21615,20917,18891,23210,25523,20483,18497,22742,25446,22700
18206,2014,Buick,Encore,4dr SUV (1.4L 4cyl Turbo 6A),Y, N, Y, 19325,18866,17174,20141,21034,19573,17826,20892,20901,17398
18207,2012,FIAT,500,C Pop 2dr Convertible (1.4L 4cyl 5M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18208,2012,FIAT,500,Pop 2dr Hatchback (1.4L 4cyl 5M),N, N, N, 10353,10267,8826,12221,0,10267,8826,12221,0,N/A
18209,2013,Mazda,CX-5,Touring 4dr SUV (2.0L 4cyl 6A),N, N, N, 18413,17114,15613,19322,20208,17114,15613,19322,20208,N/A
18210,2011,Audi,A5,2.0T Premium quattro 2dr Coupe AWD (2.0L 4cyl Turbo 8A),Y, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18211,2014,Dodge,Challenger,SXT 2dr Coupe (3.6L 6cyl 5A),Y, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18212,2014,Dodge,Challenger,SXT 2dr Coupe (3.6L 6cyl 5A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18213,2009,Toyota,Prius,Standard 4dr Hatchback (1.5L 4cyl gas/electric hybrid CVT),N, N, N, 10000,9414,8260,11494,13301,9414,8260,11494,13301,N/A
18214,2014,Dodge,Challenger,SXT 2dr Coupe (3.6L 6cyl 5A),N, N, N, 17896,17939,16005,20208,20599,17939,16005,20208,20599,N/A
18215,2014,Toyota,Prius c,Four 4dr Hatchback (1.5L 4cyl gas/electric hybrid CVT),N, N, N, 16600,17121,15579,19012,20259,17121,15579,19012,20259,16800
18216,2014,Honda,Civic,LX 4dr Sedan (1.8L 4cyl CVT),N, N, N, 15051,14855,13513,16551,17201,14855,13513,16551,17201,N/A
18217,2014,Lexus,IS 250,4dr Sedan (2.5L 6cyl 6A),N, N, N, 29735,29707,27730,32187,34439,29707,27730,32187,34439,N/A
18218,2013,MINI,Cooper,John Cooper Works 2dr Hatchback (1.6L 4cyl Turbo 6M),Y, N, Y, 25967,25843,24014,28356,29641,25843,24014,28356,29641,26300
18219,2009,Volkswagen,Jetta,S 4dr Sedan (2.5L 5cyl 5M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18220,2009,Volkswagen,Jetta,S PZEV 4dr Sedan (2.5L 5cyl 5M),N, N, N, 8954,8725,7289,10989,0,8725,7289,10989,0,N/A
18221,2013,Chevrolet,Camaro,ZL1 2dr Coupe (6.2L 8cyl S/C 6M),Y, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18222,2009,Chevrolet,Impala,LS 4dr Sedan (3.5L 6cyl 4A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18223,2012,Jeep,Grand Cherokee,Overland 4dr SUV 4WD (3.6L 6cyl 5A),Y, N, Y, 30070,29609,27482,33234,34777,29609,27482,33234,34777,27999
18224,2010,Audi,A4,2.0T Premium 4dr Sedan (2.0L 4cyl Turbo CVT),Y, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18225,2013,Dodge,Dart,SE 4dr Sedan (2.0L 4cyl 6M),N, N, N, 11849,11837,10359,13672,14630,11837,10359,13672,14630,N/A
18226,2013,Toyota,Sequoia,SR5 4dr SUV (5.7L 8cyl 6A),N, N, N, 32499,32348,29849,35738,37865,32348,29849,35738,37865,N/A
18227,2014,Volkswagen,Touareg,V6 Executive 4dr SUV AWD (3.6L 6cyl 8A),Y, N, Y, 44257,43455,41050,47025,48593,43455,41050,47025,48593,44700
18228,2010,Lexus,IS 350,4dr Sedan (3.5L 6cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18229,2010,Lexus,ES 350,4dr Sedan (3.5L 6cyl 6A),N, N, N, 17901,17605,15890,20361,25617,17605,15890,20361,25617,N/A
18230,2014,BMW,3 Series Gran Turismo,328i xDrive 4dr Hatchback AWD (2.0L 4cyl Turbo 8A),N, N, N, 32936,32982,30292,36169,38294,32982,30292,36169,38294,N/A
18231,2013,Nissan,Sentra,SR 4dr Sedan (1.8L 4cyl CVT),Y, N, Y, 14425,14231,12829,16154,16906,14231,12829,16154,16906,14600
18232,2009,Honda,Civic,EX 4dr Sedan (1.8L 4cyl 5A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18233,2013,Honda,Accord,EX-L 4dr Sedan (2.4L 4cyl CVT),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18234,2011,Dodge,Caliber,Mainstreet 4dr Wagon (2.0L 4cyl CVT),N, N, N, 11341,11175,9741,13298,14301,11175,9741,13298,14301,N/A
18235,2014,Mercedes-Benz,C-Class,C63 AMG 4dr Sedan (6.2L 8cyl 7A),Y, N, Y, 49112,49226,45564,53450,55797,49226,45564,53450,55797,49600
18236,2015,Chevrolet,Cruze,LS 4dr Sedan (1.8L 4cyl 6A),N, N, N, 14711,14933,13548,15978,0,14933,13548,15978,0,16000
18237,2014,Mercedes-Benz,E-Class,E350 Luxury 4dr Sedan (3.5L 6cyl 7A),N, N, N, 37334,37390,34656,40609,41987,37390,34656,40609,41987,N/A
18238,2014,Acura,ILX,Premium Package 4dr Sedan (2.0L 4cyl 5A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18239,2014,Mercedes-Benz,E-Class,E350 Sport 4dr Sedan (3.5L 6cyl 7A),N, N, N, 39391,39477,36523,42897,44305,39477,36523,42897,44305,N/A
18240,2012,Hyundai,Elantra,GLS 4dr Sedan (1.8L 4cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18241,2015,Volkswagen,Golf,TDI SE 4dr Hatchback (2.0L 4cyl Turbodiesel 6AM),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18242,2015,Volkswagen,Golf GTI,SE 4dr Hatchback (2.0L 4cyl Turbo 6AM),N, N, N, 24252,24498,22830,25756,0,24498,22830,25756,0,N/A
18243,2011,Toyota,Corolla,4dr Sedan (1.8L 4cyl 4A),N, N, N, 10860,10662,9371,12680,13959,10662,9371,12680,13959,N/A
18244,2014,Acura,TL,Advance Package 4dr Sedan (3.5L 6cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18245,2014,Acura,TL,Technology Package 4dr Sedan (3.5L 6cyl 6A),Y, N, Y, 28535,28505,26546,30966,32031,27771,25861,30185,32798,27400
18246,2011,Lexus,IS 250,4dr Sedan (2.5L 6cyl 6A),N, N, N, 19987,19723,18088,22308,24952,19723,18088,22308,24952,N/A
18247,2010,Mercedes-Benz,S-Class,S400 Hybrid 4dr Sedan (3.5L 6cyl gas/electric hybrid 7A),Y, N, Y, 34963,34569,30783,40074,42220,34569,30783,40074,42220,29999
18248,2013,Toyota,Prius Plug-in,4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT),N, N, N, 19599,19442,17991,21565,24575,19442,17991,21565,24575,N/A
18249,2014,Porsche,911,Carrera S 2dr Coupe (3.8L 6cyl 7M),N, N, N, 90538,90291,86033,96045,100278,90291,86033,96045,100278,N/A
18250,2011,Mazda,MAZDA3,i Sport 4dr Sedan (2.0L 4cyl 5A),N, N, N, 10858,10674,9399,12643,13811,10674,9399,12643,13811,N/A
18251,2016,BMW,5 Series,535d 4dr Sedan (3.0L 6cyl Turbodiesel 8A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18252,2012,Toyota,Camry,LE 4dr Sedan (2.5L 4cyl 6A),Y, N, Y, 15420,15298,13878,17305,18969,15298,13878,17305,18969,15600
18253,2014,Kia,Optima,SX Turbo 4dr Sedan (2.0L 4cyl Turbo 6A),Y, N, Y, 22300,20977,19109,23239,24366,20977,19109,23239,24366,23200
18254,2014,Honda,Civic,EX 4dr Sedan (1.8L 4cyl CVT),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18255,2013,Volkswagen,Golf R,2dr Hatchback AWD w/Sunroof  Navigation (2.0L 4cyl Turbo 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18256,2014,Honda,Civic,LX 4dr Sedan (1.8L 4cyl CVT),Y, N, Y, 15329,15154,13812,16850,17503,15077,13735,16773,17425,15900
18257,2011,Mercedes-Benz,GLK-Class,GLK350 4dr SUV (3.5L 6cyl 7A),N, N, N, 21500,21238,19115,24417,27592,21238,19115,24417,27592,N/A
18258,2014,Mercedes-Benz,CLA-Class,CLA250 4dr Sedan (2.0L 4cyl Turbo 7AM),N, N, N, 27034,27123,24998,29524,30758,27123,24998,29524,30758,N/A
18259,2013,Chevrolet,Camaro,SS 2dr Coupe w/2SS (6.2L 8cyl 6M),Y, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18260,2011,GMC,Terrain,SLT-2 4dr SUV (2.4L 4cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18261,2011,GMC,Terrain,SLT-1 4dr SUV (2.4L 4cyl 6A),Y, N, Y, 19448,19176,17409,21941,24244,20589,18725,23537,24710,19600
18262,2013,Lexus,ES 300h,4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),N, N, Y, 30722,30702,27870,34209,37712,30702,27870,34209,37776,31100
18263,2012,Toyota,RAV4,4dr SUV (3.5L 6cyl 5A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
